timestamp,elapsed_seconds,ir,bpm,avg_bpm,mic,note,raw
2026-07-05T15:58:29.157,18.575,120247,22.71,16,366,,"IR=120247, BPM=22.71, Avg BPM=16, MIC=366"
2026-07-05T15:58:29.176,18.595,120283,22.71,16,397,,"IR=120283, BPM=22.71, Avg BPM=16, MIC=397"
2026-07-05T15:58:29.196,18.614,120325,22.71,16,409,,"IR=120325, BPM=22.71, Avg BPM=16, MIC=409"
2026-07-05T15:58:29.214,18.632,120419,22.71,16,424,,"IR=120419, BPM=22.71, Avg BPM=16, MIC=424"
2026-07-05T15:58:29.233,18.652,120567,22.71,16,430,,"IR=120567, BPM=22.71, Avg BPM=16, MIC=430"
2026-07-05T15:58:29.253,18.671,120665,22.71,16,432,,"IR=120665, BPM=22.71, Avg BPM=16, MIC=432"
2026-07-05T15:58:29.272,18.691,120757,22.71,16,425,,"IR=120757, BPM=22.71, Avg BPM=16, MIC=425"
2026-07-05T15:58:29.291,18.710,120830,22.71,16,445,,"IR=120830, BPM=22.71, Avg BPM=16, MIC=445"
2026-07-05T15:58:29.310,18.729,120954,22.71,16,431,,"IR=120954, BPM=22.71, Avg BPM=16, MIC=431"
2026-07-05T15:58:29.329,18.748,121019,22.71,16,395,,"IR=121019, BPM=22.71, Avg BPM=16, MIC=395"
2026-07-05T15:58:29.348,18.767,120028,22.71,16,352,,"IR=120028, BPM=22.71, Avg BPM=16, MIC=352"
2026-07-05T15:58:29.368,18.787,119551,22.71,16,380,,"IR=119551, BPM=22.71, Avg BPM=16, MIC=380"
2026-07-05T15:58:29.387,18.806,119377,22.71,16,313,,"IR=119377, BPM=22.71, Avg BPM=16, MIC=313"
2026-07-05T15:58:29.406,18.824,119249,22.71,16,328,,"IR=119249, BPM=22.71, Avg BPM=16, MIC=328"
2026-07-05T15:58:29.425,18.844,119220,22.71,16,329,,"IR=119220, BPM=22.71, Avg BPM=16, MIC=329"
2026-07-05T15:58:29.444,18.863,119162,22.71,16,310,,"IR=119162, BPM=22.71, Avg BPM=16, MIC=310"
